state,rural_house,urban_house,male literacy,female literacy,Hindus,Muslims,workers,non workers,Population,Male Population,christans,sikhs,buddhisits,jains,agriculture workers,household workers,literate,illiterate
ANDAMAN AND NICOBAR ISLANDS,89950,51725,164377,129904,264296,32413,152535,228046,380581,202871,80984,1286,338,31,4781,41539,304905,68492
ANDHRA PRADESH,17174077,8420919,28251243,22305517,74824149,8082412,39422906,45157871,84580777,42442146,1129784,40244,36692,53849,16967754,7525445,54781152,27185233
ARUNACHAL PRADESH,270546,105414,439868,326137,401876,27045,587657,796070,1383727,713912,418732,3287,162815,771,36171,76445,825665,441551
ASSAM,7588998,1485505,10568639,8609338,19180759,10679345,11969690,19235886,31205576,15939443,1165867,20672,54993,25949,1845346,1206621,22067346,9491628
BIHAR,20713342,2701332,31608023,20896530,86078686,17557809,34724987,69374465,104099452,54278157,129247,23779,25453,18914,18345649,1528380,64524479,46443380
CHANDIGARH,8911,289456,465346,340092,852574,51447,404136,651314,1055450,580663,8720,138329,1160,1960,1687,168344,731491,184265
CHHATTISGARH,5164079,1635610,8807893,6572029,23819789,514998,12180225,13364973,25545198,12832895,490542,70036,70467,61510,5091882,628600,16007677,8967044
DADRA AND NAGAR HAVELI,48221,60562,142521,80709,322857,12922,157161,186548,343709,193760,5113,217,634,1186,17799,29101,209575,91055
DAMAN AND DIU,19794,70135,124643,63763,220150,19277,121271,121976,243247,150301,2820,172,217,287,772,32021,153785,31376
GOA,204479,372103,615823,549664,963877,121564,577248,881297,1458545,739140,366130,1473,1095,1109,26760,234803,1099659,188115
GUJARAT,9293240,8230790,23474873,17618485,53533988,5846761,24767747,35671945,60439692,31491260,316178,58246,30483,579654,6839415,4667397,41957563,14190067
HARYANA,4444365,2643643,9794067,6804921,22171128,1781342,8916508,16434954,25351462,13494734,50353,1243752,7514,52613,1528133,2075925,16593606,7034207
HIMACHAL PRADESH,2612611,321052,2752590,2287146,6532765,149881,3559422,3305180,6864602,3481873,12646,79896,78659,1805,175038,569556,5182234,1379928
JAMMU AND KASHMIR,2663460,940172,4264671,2802562,3566674,8567485,4322713,8218589,12541302,6640662,35631,234848,112584,2490,547705,635867,7474689,4121757
JHARKHAND,5746528,2049505,10882519,7445550,22376051,4793994,13098274,19889860,32988134,16930315,1418608,71422,8956,14974,4436052,720832,20964863,11657684
KARNATAKA,10620687,7378379,22508471,18138851,51317472,7893065,27872597,33222700,61095297,30966657,1142647,28773,95710,440280,7155963,4282430,44431908,15548499
KERALA,5857785,5360068,13704903,14430921,18282492,8873472,11619063,21786998,33406061,16027412,6141269,3814,4752,4489,1322850,2765913,29397910,3633601
LAKSHADWEEP,5289,15953,28023,24530,1788,62268,18753,45720,64473,33123,317,8,10,11,0,1779,58057,5953
MADHYA PRADESH,13453987,5044776,25174328,17676841,66007121,4774695,31574133,41052676,72626809,37612306,213282,151412,216052,567028,12192267,2717504,42226343,26761119
MAHARASHTRA,17519193,16050569,45257584,36296706,89703057,12971152,49427878,62946455,112374333,58243056,1080073,223247,6531200,1400349,13486140,10335795,82438831,22824116
MANIPUR,397837,212127,1039858,868618,1181876,239836,1304610,1551184,2855794,1438586,1179043,1527,7084,1692,134077,150449,2261896,737422
MEGHALAYA,553593,167874,913879,871126,342078,130399,1185619,1781270,2966889,1491832,2213027,3045,9864,627,198364,63768,2015273,900507
MIZORAM,123347,146084,438529,409646,30136,14832,486705,610501,1097206,555339,956331,286,93411,376,41787,116166,880491,190080
NAGALAND,360385,174039,723957,618477,173054,48963,974122,1004380,1978502,1024649,1739651,1890,6759,2655,62962,79824,1415401,494894
NCT OF DELHI,124422,4481133,7194856,5542911,13712100,2158684,5587049,11200892,16787941,8987326,146093,570581,18449,166231,39475,3003996,13561098,1982298
ORISSA,10554975,2204158,15089681,11652914,39300341,911670,17541589,24432629,41974218,21212136,1161708,21991,13852,9420,6739993,949203,28311055,13705186
PONDICHERRY,122914,265085,497378,459931,1089409,75556,444968,802985,1247953,612511,78550,297,451,1400,68391,212517,957310,197494
PUNJAB,4668757,3178690,10436056,8271081,10678138,535489,9897362,17845976,27743338,14639465,348230,16004754,33237,45040,1588455,2949753,18178002,7079622
RAJASTHAN,13296654,4774309,23688412,14586870,60657103,6215377,29886255,38662182,68548437,35550997,96430,872930,12185,622023,4939664,2873314,39789182,30026672
SIKKIM,115395,53627,251269,193683,352662,9867,308138,302439,610577,323070,60522,1868,167216,314,25986,52871,440733,98437
TAMIL NADU,11937264,11229457,28040491,23797016,63188168,4229479,32884681,39262349,72147030,36137975,4418331,14601,11186,89265,9606547,8864716,53439026,14612434
TRIPURA,748686,318177,1501369,1303414,3063903,316042,1469521,2204396,3673917,1874376,159882,1070,125385,860,353618,148637,2975868,733386
UTTAR PRADESH,34726215,10446228,68234964,46162591,159312654,38483967,65814715,133997626,199812341,104480510,356448,643500,206285,213267,19939223,6226793,129307760,70537129
UTTARAKHAND,2512569,870841,3863708,3017245,8368636,1406825,3872275,6214017,10086292,5137773,37781,236340,14926,9183,403301,883286,7318133,2239597
WEST BENGAL,16953359,8390356,33818810,27719471,64385546,24654825,34756355,56519760,91276115,46809027,658618,63523,282898,60141,10188842,3603293,63818850,26569967
