#,State,Population,Increase,Area(Km2),Density,Sex-Ratio,Literacy,Male,Female,% Change,No_HH,Males,Female,Child(0-6),Slums,Slum HH,Slum Pop,SC,ST,Literacy
-,India,"1,210,854,977",17.64%,"3,287,240",382,940,74.04,74.04,82.14,65.46,"41,694,863","103,535,314","97,843,058",14.50%,5.41%,"13,920,191","65,494,604","13,354,080","2,216,533",77.72%
1,Uttar Pradesh,"199,812,341",20.23%,"240,928",829,912,67.68,94,96.11,92.07,"7,375,437","21,676,975","19,680,633",16.81%,10.54%,"2,499,948","11,848,423","1,863,882","364,254",84.55%
2,Maharashtra,"112,374,333",15.99%,"307,713",365,929,82.34,91.85,95.56,87.95,"4,861,303","11,003,304","10,459,966",11.91%,12.04%,"2,431,474","10,186,934","1,428,212","270,556",75.32%
3,Bihar,"104,099,452",25.42%,"94,163","1,106",918,61.8,91.33,93.35,89.27,"3,591,953","7,204,687","7,233,758",11.02%,8.04%,"1,463,689","5,798,459","1,853,315","30,996",82.06%
4,West Bengal,"91,276,115",13.84%,"88,752","1,028",950,76.26,88.7,92.65,84.66,"3,429,973","6,913,047","6,965,031",11.17%,7.03%,"1,391,756","6,418,594","1,060,811","106,373",81.38%
5,Andhra Pradesh,"84,580,777",10.98%,"275,045",308,993,67.02,87.22,91.53,82.73,"3,073,109","8,606,253","7,961,072",21.02%,7.83%,"1,117,764","5,688,993","1,251,713","356,481",77.25%
6,Madhya Pradesh,"72,626,809",20.35%,"308,252",236,931,69.32,87.1,91.54,79.55,"2,898,245","6,767,759","6,508,139",12.20%,3.12%,"1,066,363","6,239,965","1,373,211","19,186",68.98%
7,Tamil Nadu,"72,147,030",15.61%,"130,060",555,996,80.09,86.63,90.27,82.43,"2,402,342","5,908,638","5,433,682",15.51%,5.39%,"707,662","3,291,434","922,589","172,129",75.63%
8,Rajasthan,"68,548,437",21.31%,"342,239",200,928,66.11,86.21,90.94,80.76,"2,279,366","6,355,564","5,866,029",16.60%,7.43%,"413,831","1,898,931","338,098","174,050",80.36%
9,Karnataka,"61,095,297",15.60%,"191,791",319,973,75.36,86.05,89.99,81.19,"2,178,501","5,264,545","5,210,447",12.97%,3.02%,"394,391","2,068,000","582,562","100,675",69.79%
10,Gujarat,"60,439,692",19.28%,"196,244",308,919,78.03,85.85,91.26,80.67,"1,717,888","4,639,875","4,220,304",12.80%,10.63%,"367,893","1,785,390","482,870",0,75.16%
11,Orissa,"41,974,218",14.05%,"155,707",270,979,72.87,82.8,89.53,75.93,"1,669,787","3,617,808","3,570,655",13.26%,3.72%,"350,032","1,560,303","321,167","199,836",78.95%
12,Kerala,"33,406,061",4.91%,"38,852",860,1084,94,82.34,88.38,75.87,"992,096","2,709,656","2,403,959",14.87%,2.78%,"345,998","1,680,095","186,577","125,538",70.49%
13,Jharkhand,"32,988,134",22.42%,"79,716",414,948,66.41,81.42,86.55,75.61,"817,281","2,110,331","1,964,116",12.13%,6.56%,"332,697","1,662,305","497,042",0,75.87%
14,Assam,"31,205,576",17.07%,"78,438",398,958,72.19,80.09,86.77,73.44,"753,644","2,043,458","1,942,186",18.29%,5.26%,"293,928","1,460,518","581,984",0,74.18%
